gender;lengte;l.arm;meter;Id;ratio
Man;187;50;468620;1;3.74
Man;187;50;508757;1;3.74
Man;196;55;508757;2;3.56363636363636
Man;196;54;468620;2;3.62962962962963
Vrouw;173;50;508757;3;3.46
Vrouw;173;48;468620;3;3.60416666666667
Man;187;47;468620;4;3.97872340425532
Man;187;49;508757;4;3.81632653061224
Vrouw;162;49;468620;5;3.30612244897959
Vrouw;161;49;508757;5;3.28571428571429
Man;169;48;468620;6;3.52083333333333
Man;170;48;508757;6;3.54166666666667
Man;190;48;468620;7;3.95833333333333
Man;191;52;508757;7;3.67307692307692
Vrouw;171;51;508757;8;3.35294117647059
Vrouw;171;52;468620;8;3.28846153846154
Man;173;50;508757;9;3.46
Man;173;52;468620;9;3.32692307692308
Man;190;58;508757;10;3.27586206896552
Man;189;55;468620;10;3.43636363636364
Man;184;54;508757;11;3.40740740740741
Man;185;56;468620;11;3.30357142857143
Man;189;55;508757;12;3.43636363636364
Man;188;54;468620;12;3.48148148148148
Vrouw;166;50;508757;13;3.32
Vrouw;167;51;468620;13;3.27450980392157
Man;197;54;508757;14;3.64814814814815
Man;197;54;468620;14;3.64814814814815
Man;188;50;468620;15;3.76
Man;188;50;508757;15;3.76
Man;194;54;508757;16;3.59259259259259
Man;194;54;468620;16;3.59259259259259
Vrouw;167;48;468620;17;3.47916666666667
Vrouw;167;48;508757;17;3.47916666666667
Vrouw;173;49;508757;18;3.53061224489796
Vrouw;173;49;468620;18;3.53061224489796
Vrouw;170;51;508757;19;3.33333333333333
Vrouw;170;51;468620;19;3.33333333333333
Vrouw;172;50;468620;20;3.44
Vrouw;172;50;508757;20;3.44
Vrouw;169;50;508757;21;3.38
Vrouw;169;50;468620;21;3.38
Vrouw;172;45;508757;22;3.82222222222222
Vrouw;172;45;468620;22;3.82222222222222
Vrouw;166;44;508757;23;3.77272727272727
Vrouw;166;44;468620;23;3.77272727272727
Man;191;52;508757;24;3.67307692307692
Man;191;52;468620;24;3.67307692307692
Man;193;57;508757;24;3.3859649122807
Man;191;52;468620;24;3.67307692307692
Man;197;50;508757;25;3.94
Man;197;50;468620;25;3.94
Man;171;50;508757;26;3.42
Man;171;50;468620;26;3.42
Vrouw;172;52;508757;27;3.30769230769231
Vrouw;172;52;468620;27;3.30769230769231
Vrouw;168;45;508757;28;3.73333333333333
Vrouw;168;45;468620;28;3.73333333333333
Man;180;50;508757;29;3.6
Man;180;50;468620;29;3.6
Man;180;50;508757;30;3.6
Man;180;50;468620;30;3.6
Man;180;53;508757;31;3.39622641509434
Man;180;53;468620;31;3.39622641509434
Man;169;46;508757;32;3.67391304347826
Man;169;47;468620;32;3.59574468085106
Man;180;49;508757;33;3.6734693877551
Man;179;50;468620;33;3.58
Vrouw;171;47;508757;34;3.63829787234043
Vrouw;172;48;468620;34;3.58333333333333
Vrouw;174;49;508757;35;3.55102040816327
Vrouw;174;49;468620;35;3.55102040816327
Vrouw;182;48;508757;36;3.79166666666667
Vrouw;181;49;468620;36;3.69387755102041
Vrouw;182;52;508757;37;3.5
Vrouw;183;51;468620;37;3.58823529411765
Vrouw;177;48;508757;38;3.6875
Vrouw;178;49;468620;38;3.63265306122449
Vrouw;175;47;508757;39;3.72340425531915
Vrouw;173;47;468620;39;3.68085106382979
Vrouw;161;44;508757;40;3.65909090909091
Vrouw;161;44;468620;40;3.65909090909091
